name,capital,currency,population,timestamp
Democratic Republic of the Congo,Kinshasa,Franc,70916439,2023-09-05 13:28:39.974926
Denmark,Copenhagen,Krone,5484000,2023-09-05 13:28:39.974926
Djibouti,Djibouti,Franc,740528,2023-09-05 13:28:39.974926
Dominica,Roseau,Dollar,72813,2023-09-05 13:28:39.974926
Dominican Republic,Santo Domingo,Peso,9823821,2023-09-05 13:28:39.974926
East Timor,Dili,Dollar,1154625,2023-09-05 13:28:39.974926
Ecuador,Quito,Dollar,14790608,2023-09-05 13:28:39.974926
Egypt,Cairo,Pound,80471869,2023-09-05 13:28:39.974926
El Salvador,San Salvador,Dollar,6052064,2023-09-05 13:28:39.974926
Equatorial Guinea,Malabo,Franc,1014999,2023-09-05 13:28:39.974926
Eritrea,Asmara,Nakfa,5792984,2023-09-05 13:28:39.974926
Estonia,Tallinn,Euro,1291170,2023-09-05 13:28:39.974926
Ethiopia,Addis Ababa,Birr,88013491,2023-09-05 13:28:39.974926
Falkland Islands,Stanley,Pound,2638,2023-09-05 13:28:39.974926
Faroe Islands,Torshavn,Krone,48228,2023-09-05 13:28:39.974926
Fiji,Suva,Dollar,875983,2023-09-05 13:28:39.974926
Finland,Helsinki,Euro,5244000,2023-09-05 13:28:39.974926
France,Paris,Euro,64768389,2023-09-05 13:28:39.974926
French Guiana,Cayenne,Euro,195506,2023-09-05 13:28:39.974926
French Polynesia,Papeete,Franc,270485,2023-09-05 13:28:39.974926
French Southern Territories,Port-aux-Francais,Euro,140,2023-09-05 13:28:39.974926
Gabon,Libreville,Franc,1545255,2023-09-05 13:28:39.974926
Gambia,Banjul,Dalasi,1593256,2023-09-05 13:28:39.974926
Georgia,Tbilisi,Lari,4630000,2023-09-05 13:28:39.974926
Germany,Berlin,Euro,81802257,2023-09-05 13:28:39.974926
Ghana,Accra,Cedi,24339838,2023-09-05 13:28:39.974926
Gibraltar,Gibraltar,Pound,27884,2023-09-05 13:28:39.974926
Greece,Athens,Euro,11000000,2023-09-05 13:28:39.974926
Greenland,Nuuk,Krone,56375,2023-09-05 13:28:39.974926
Grenada,St. George's,Dollar,107818,2023-09-05 13:28:39.974926
Guadeloupe,Basse-Terre,Euro,443000,2023-09-05 13:28:39.974926
Guam,Hagatna,Dollar,159358,2023-09-05 13:28:39.974926
Guatemala,Guatemala City,Quetzal,13550440,2023-09-05 13:28:39.974926
Guernsey,St Peter Port,Pound,65228,2023-09-05 13:28:39.974926
Guinea,Conakry,Franc,10324025,2023-09-05 13:28:39.974926
Guinea-Bissau,Bissau,Franc,1565126,2023-09-05 13:28:39.974926
Guyana,Georgetown,Dollar,748486,2023-09-05 13:28:39.974926
Haiti,Port-au-Prince,Gourde,9648924,2023-09-05 13:28:39.974926
Heard Island and McDonald Islands,,Dollar,0,2023-09-05 13:28:39.974926
Honduras,Tegucigalpa,Lempira,7989415,2023-09-05 13:28:39.974926
Hong Kong,Hong Kong,Dollar,6898686,2023-09-05 13:28:39.974926
Hungary,Budapest,Forint,9982000,2023-09-05 13:28:39.974926
Iceland,Reykjavik,Krona,308910,2023-09-05 13:28:39.974926
India,New Delhi,Rupee,1173108018,2023-09-05 13:28:39.974926
Indonesia,Jakarta,Rupiah,242968342,2023-09-05 13:28:39.974926
Iran,Tehran,Rial,76923300,2023-09-05 13:28:39.974926
Iraq,Baghdad,Dinar,29671605,2023-09-05 13:28:39.974926
Ireland,Dublin,Euro,4622917,2023-09-05 13:28:39.974926
Isle of Man,"Douglas, Isle of Man",Pound,75049,2023-09-05 13:28:39.974926
Israel,Jerusalem,Shekel,7353985,2023-09-05 13:28:39.974926
Italy,Rome,Euro,60340328,2023-09-05 13:28:39.974926
Ivory Coast,Yamoussoukro,Franc,21058798,2023-09-05 13:28:39.974926
Jamaica,Kingston,Dollar,2847232,2023-09-05 13:28:39.974926
Japan,Tokyo,Yen,127288000,2023-09-05 13:28:39.974926
Jersey,Saint Helier,Pound,90812,2023-09-05 13:28:39.974926
Jordan,Amman,Dinar,6407085,2023-09-05 13:28:39.974926
Kazakhstan,Astana,Tenge,15340000,2023-09-05 13:28:39.974926
Kenya,Nairobi,Shilling,40046566,2023-09-05 13:28:39.974926
Kiribati,Tarawa,Dollar,92533,2023-09-05 13:28:39.974926
Kosovo,Pristina,Euro,1800000,2023-09-05 13:28:39.974926
Kuwait,Kuwait City,Dinar,2789132,2023-09-05 13:28:39.974926
Kyrgyzstan,Bishkek,Som,5508626,2023-09-05 13:28:39.974926
Laos,Vientiane,Kip,6368162,2023-09-05 13:28:39.974926
Latvia,Riga,Euro,2217969,2023-09-05 13:28:39.974926
Lebanon,Beirut,Pound,4125247,2023-09-05 13:28:39.974926
Lesotho,Maseru,Loti,1919552,2023-09-05 13:28:39.974926
Liberia,Monrovia,Dollar,3685076,2023-09-05 13:28:39.974926
Libya,Tripolis,Dinar,6461454,2023-09-05 13:28:39.974926
Liechtenstein,Vaduz,Franc,35000,2023-09-05 13:28:39.974926
Lithuania,Vilnius,Litas,3565000,2023-09-05 13:28:39.974926
Luxembourg,Luxembourg,Euro,497538,2023-09-05 13:28:39.974926
Macao,Macao,Pataca,449198,2023-09-05 13:28:39.974926
Macedonia,Skopje,Denar,2062294,2023-09-05 13:28:39.974926
Madagascar,Antananarivo,Ariary,21281844,2023-09-05 13:28:39.974926
Malawi,Lilongwe,Kwacha,15447500,2023-09-05 13:28:39.974926
Malaysia,Kuala Lumpur,Ringgit,28274729,2023-09-05 13:28:39.974926
Maldives,Male,Rufiyaa,395650,2023-09-05 13:28:39.974926
Mali,Bamako,Franc,13796354,2023-09-05 13:28:39.974926
Malta,Valletta,Euro,403000,2023-09-05 13:28:39.974926
Marshall Islands,Majuro,Dollar,65859,2023-09-05 13:28:39.974926
Martinique,Fort-de-France,Euro,432900,2023-09-05 13:28:39.974926
Mauritania,Nouakchott,Ouguiya,3205060,2023-09-05 13:28:39.974926
Mauritius,Port Louis,Rupee,1294104,2023-09-05 13:28:39.974926
Mayotte,Mamoudzou,Euro,159042,2023-09-05 13:28:39.974926
Mexico,Mexico City,Peso,112468855,2023-09-05 13:28:39.974926
Micronesia,Palikir,Dollar,107708,2023-09-05 13:28:39.974926
Moldova,Chisinau,Leu,4324000,2023-09-05 13:28:39.974926
Monaco,Monaco,Euro,32965,2023-09-05 13:28:39.974926
Mongolia,Ulan Bator,Tugrik,3086918,2023-09-05 13:28:39.974926
Montenegro,Podgorica,Euro,666730,2023-09-05 13:28:39.974926
Montserrat,Plymouth,Dollar,9341,2023-09-05 13:28:39.974926
Morocco,Rabat,Dirham,31627428,2023-09-05 13:28:39.974926
Mozambique,Maputo,Metical,22061451,2023-09-05 13:28:39.974926
Myanmar,Nay Pyi Taw,Kyat,53414374,2023-09-05 13:28:39.974926
Namibia,Windhoek,Dollar,2128471,2023-09-05 13:28:39.974926
Nauru,Yaren,Dollar,10065,2023-09-05 13:28:39.974926
Nepal,Kathmandu,Rupee,28951852,2023-09-05 13:28:39.974926
Netherlands,Amsterdam,Euro,16645000,2023-09-05 13:28:39.974926
Netherlands Antilles,Willemstad,Guilder,136197,2023-09-05 13:28:39.974926
New Caledonia,Noumea,Franc,216494,2023-09-05 13:28:39.974926
New Zealand,Wellington,Dollar,4252277,2023-09-05 13:28:39.974926
Nicaragua,Managua,Cordoba,5995928,2023-09-05 13:28:39.974926
Niger,Niamey,Franc,15878271,2023-09-05 13:28:39.974926
Nigeria,Abuja,Naira,154000000,2023-09-05 13:28:39.974926
Niue,Alofi,Dollar,2166,2023-09-05 13:28:39.974926
Norfolk Island,Kingston,Dollar,1828,2023-09-05 13:28:39.974926
North Korea,Pyongyang,Won,22912177,2023-09-05 13:28:39.974926
Northern Mariana Islands,Saipan,Dollar,53883,2023-09-05 13:28:39.974926
Norway,Oslo,Krone,5009150,2023-09-05 13:28:39.974926
Oman,Muscat,Rial,2967717,2023-09-05 13:28:39.974926
Pakistan,Islamabad,Rupee,184404791,2023-09-05 13:28:39.974926
Palau,Melekeok,Dollar,19907,2023-09-05 13:28:39.974926
Palestinian Territory,East Jerusalem,Shekel,3800000,2023-09-05 13:28:39.974926
Panama,Panama City,Balboa,3410676,2023-09-05 13:28:39.974926
Papua New Guinea,Port Moresby,Kina,6064515,2023-09-05 13:28:39.974926
Paraguay,Asuncion,Guarani,6375830,2023-09-05 13:28:39.974926
Peru,Lima,Sol,29907003,2023-09-05 13:28:39.974926
Philippines,Manila,Peso,99900177,2023-09-05 13:28:39.974926
Pitcairn,Adamstown,Dollar,46,2023-09-05 13:28:39.974926
Poland,Warsaw,Zloty,38500000,2023-09-05 13:28:39.974926
Portugal,Lisbon,Euro,10676000,2023-09-05 13:28:39.974926
Puerto Rico,San Juan,Dollar,3916632,2023-09-05 13:28:39.974926
Qatar,Doha,Rial,840926,2023-09-05 13:28:39.974926
Republic of the Congo,Brazzaville,Franc,3039126,2023-09-05 13:28:39.974926
Reunion,Saint-Denis,Euro,776948,2023-09-05 13:28:39.974926
Romania,Bucharest,Leu,21959278,2023-09-05 13:28:39.974926
Russia,Moscow,Ruble,140702000,2023-09-05 13:28:39.974926
Rwanda,Kigali,Franc,11055976,2023-09-05 13:28:39.974926
Saint Barthelemy,Gustavia,Euro,8450,2023-09-05 13:28:39.974926
Saint Helena,Jamestown,Pound,7460,2023-09-05 13:28:39.974926
Saint Kitts and Nevis,Basseterre,Dollar,51134,2023-09-05 13:28:39.974926
Saint Lucia,Castries,Dollar,160922,2023-09-05 13:28:39.974926
Saint Martin,Marigot,Euro,35925,2023-09-05 13:28:39.974926
Saint Pierre and Miquelon,Saint-Pierre,Euro,7012,2023-09-05 13:28:39.974926
Saint Vincent and the Grenadines,Kingstown,Dollar,104217,2023-09-05 13:28:39.974926
Samoa,Apia,Tala,192001,2023-09-05 13:28:39.974926
San Marino,San Marino,Euro,31477,2023-09-05 13:28:39.974926
Sao Tome and Principe,Sao Tome,Dobra,175808,2023-09-05 13:28:39.974926
Saudi Arabia,Riyadh,Rial,25731776,2023-09-05 13:28:39.974926
Senegal,Dakar,Franc,12323252,2023-09-05 13:28:39.974926
Serbia,Belgrade,Dinar,7344847,2023-09-05 13:28:39.974926
Serbia and Montenegro,Belgrade,Dinar,10829175,2023-09-05 13:28:39.974926
Seychelles,Victoria,Rupee,88340,2023-09-05 13:28:39.974926
Sierra Leone,Freetown,Leone,5245695,2023-09-05 13:28:39.974926
Singapore,Singapur,Dollar,4701069,2023-09-05 13:28:39.974926
Sint Maarten,Philipsburg,Guilder,37429,2023-09-05 13:28:39.974926
Slovakia,Bratislava,Euro,5455000,2023-09-05 13:28:39.974926
Slovenia,Ljubljana,Euro,2007000,2023-09-05 13:28:39.974926
Solomon Islands,Honiara,Dollar,559198,2023-09-05 13:28:39.974926
Somalia,Mogadishu,Shilling,10112453,2023-09-05 13:28:39.974926
South Africa,Pretoria,Rand,49000000,2023-09-05 13:28:39.974926
South Georgia and the South Sandwich Islands,Grytviken,Pound,30,2023-09-05 13:28:39.974926
South Korea,Seoul,Won,48422644,2023-09-05 13:28:39.974926
South Sudan,Juba,Pound,8260490,2023-09-05 13:28:39.974926
Spain,Madrid,Euro,46505963,2023-09-05 13:28:39.974926
Sri Lanka,Colombo,Rupee,21513990,2023-09-05 13:28:39.974926
Sudan,Khartoum,Pound,35000000,2023-09-05 13:28:39.974926
Suriname,Paramaribo,Dollar,492829,2023-09-05 13:28:39.974926
Svalbard and Jan Mayen,Longyearbyen,Krone,2550,2023-09-05 13:28:39.974926
Swaziland,Mbabane,Lilangeni,1354051,2023-09-05 13:28:39.974926
Sweden,Stockholm,Krona,9555893,2023-09-05 13:28:39.974926
Switzerland,Berne,Franc,7581000,2023-09-05 13:28:39.974926
Syria,Damascus,Pound,22198110,2023-09-05 13:28:39.974926
Taiwan,Taipei,Dollar,22894384,2023-09-05 13:28:39.974926
Tajikistan,Dushanbe,Somoni,7487489,2023-09-05 13:28:39.974926
Tanzania,Dodoma,Shilling,41892895,2023-09-05 13:28:39.974926
Thailand,Bangkok,Baht,67089500,2023-09-05 13:28:39.974926
Togo,Lome,Franc,6587239,2023-09-05 13:28:39.974926
Tokelau,,Dollar,1466,2023-09-05 13:28:39.974926
Tonga,Nuku'alofa,Pa'anga,122580,2023-09-05 13:28:39.974926
Trinidad and Tobago,Port of Spain,Dollar,1228691,2023-09-05 13:28:39.974926
Tunisia,Tunis,Dinar,10589025,2023-09-05 13:28:39.974926
Turkey,Ankara,Lira,77804122,2023-09-05 13:28:39.974926
Turkmenistan,Ashgabat,Manat,4940916,2023-09-05 13:28:39.974926
Turks and Caicos Islands,Cockburn Town,Dollar,20556,2023-09-05 13:28:39.974926
